Tenure in Months,is_month_to_month,is_new_customer,has_fiber,has_premium_support,Monthly Charge,Total Long Distance Charges,charge_per_service,Number of Referrals,has_referred,is_offer_E,Age,has_family,is_senior,Avg Monthly GB Download
10,0,1,0,0,80.85,310.9,11.549999999999999,8,1,0,40,0,0,5
51,1,0,0,1,44.45,0.0,8.89,0,0,0,31,0,0,2
2,1,1,1,0,93.85,50.38,23.4625,0,0,0,70,0,1,14
35,0,0,0,0,26.2,1719.5500000000002,13.1,0,0,0,40,0,0,0
43,1,0,0,0,29.3,0.0,14.65,5,1,0,44,1,0,53
35,0,0,0,0,20.05,1435.7,20.05,4,1,0,24,1,0,0
24,0,0,0,0,50.6,0.0,10.120000000000001,0,0,0,28,0,0,46
42,1,0,1,1,84.3,450.66,21.075,1,1,0,58,0,0,22
56,0,0,0,0,19.95,2736.72,19.95,0,0,0,29,0,0,0
50,0,0,0,0,75.15,1645.0,10.735714285714286,3,1,0,74,1,1,18
54,0,0,0,1,72.1,2453.22,14.419999999999998,0,0,0,68,0,1,2
18,0,0,0,0,46.4,0.0,11.6,2,1,0,25,1,0,59
54,0,0,0,0,20.35,2264.22,20.35,1,1,0,48,1,0,0
33,0,0,0,1,73.9,1099.56,12.316666666666668,3,1,0,33,0,0,4
67,0,0,1,1,102.9,3261.56,14.700000000000001,9,1,0,72,0,1,17
29,0,0,0,1,58.75,232.0,14.6875,0,0,0,35,0,0,9
4,0,1,0,0,23.9,25.44,11.95,0,0,1,33,0,0,0
54,0,0,0,1,60.0,460.61999999999995,15.0,6,1,0,22,1,0,73
68,0,0,1,0,83.0,3008.32,27.666666666666668,1,1,0,42,0,0,5
4,1,1,1,0,75.35,116.44,37.675,0,0,1,42,0,0,9
1,1,1,1,0,69.65,7.23,69.65,0,0,0,70,0,1,2
1,1,1,1,0,85.45,31.03,21.3625,0,0,0,22,0,0,27
31,0,0,0,0,20.4,792.9799999999999,20.4,0,0,0,56,0,0,0
